condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w2,max_intensity_w2,min_intensity_w2,mean_intensity_w3,max_intensity_w3,min_intensity_w3,mean_intensity_w4,max_intensity_w4,min_intensity_w4,mean_intensity_w5,max_intensity_w5,min_intensity_w5,1,2,3,4,5,6,7,8,9,10
(+)-Cedrol 0.01,1392.0374396135267,1539.4371980676328,0.8414094210633133,40.4885951996156,0.5829194888257287,62.696167012780286,29.210891569584746,0.011687676534351168,165.29845616894306,0.9121769271504461,0.090062242594513,0.33013521833854315,0.03844723879890109,0.09049983211133465,0.29560244387610063,0.027163256606990552,0.05229695598419111,0.19800132613431876,0.01789926115373681,0.08085526903259715,0.20175120772946858,0.03219427867765461,0.09541062801932366,0.17995169082125603,0.15942028985507245,0.10386473429951691,0.06159420289855073,0.059178743961352656,0.0893719806763285,0.07608695652173914,0.08695652173913043,0.08816425120772947
(+)-Cedrol 0.03,1302.5284738041003,1449.121867881549,0.842458168306,39.06075356146714,0.5700614155954922,61.16753446508798,28.09734300075633,-0.0332857804784759,160.80210380179037,0.9063144611335031,0.09084189911243237,0.338479833846978,0.03758318817276335,0.09713390454315972,0.3090077716735898,0.028424672830407883,0.05364181013724053,0.19968622984501308,0.017918397427308032,0.08487029713729832,0.20559203180133073,0.033255169949528686,0.10364464692482915,0.1264236902050114,0.1867881548974943,0.13439635535307518,0.06719817767653759,0.05694760820045558,0.11845102505694761,0.08200455580865604,0.05808656036446469,0.06605922551252848
(+)-Cedrol 0.1,1413.028360049322,1572.620221948212,0.8508070898222047,40.58025857935605,0.5809567985135237,64.30272084548496,28.812167579395894,-0.012831496742603575,167.88387391655914,0.9075843947795034,0.09357775058501333,0.3476197384009079,0.03862454969657394,0.09501442086458711,0.3086929716399509,0.028144870771983188,0.05566777077930732,0.21119895553782592,0.018455791687821837,0.08537965611340097,0.21315973985155148,0.03323178839970001,0.0998766954377312,0.14549938347718866,0.16769420468557336,0.1504315659679408,0.0690505548705302,0.055487053020961775,0.09247842170160296,0.07274969173859433,0.07644882860665844,0.07028360049321825
(+)-Cedrol 0.3,1379.0387984981226,1526.764705882353,0.848363259510951,40.051918073064414,0.5748705238767468,62.66624466245622,28.695102821404276,0.03868924799109468,164.40431671545198,0.9107544673358643,0.0898964851290254,0.3264264153721566,0.03828682912464102,0.0936468346014836,0.3059780608113087,0.028982306314265315,0.052448814670341785,0.19099977913568456,0.018121917102260174,0.08263713249878958,0.19846990110186774,0.033724753981692786,0.10262828535669587,0.15519399249061328,0.16145181476846057,0.12640801001251564,0.07884856070087609,0.06132665832290363,0.11514392991239049,0.06132665832290363,0.06633291614518148,0.07133917396745933
(+)-Cedrol 1.0,1275.2915742793791,1411.1906873614191,0.8366942440383471,38.52182043603986,0.582040103539189,59.260002444774315,27.927597034647036,-0.10814637347762215,156.89212071045117,0.9108214503809136,0.10318904299596715,0.37257510543019906,0.0393548106604062,0.09986440394147468,0.31330268249206533,0.029522629450893245,0.062138600006961475,0.22995087170123082,0.0187839659145254,0.09155236801220026,0.22877700969523093,0.034050693448110805,0.10643015521064302,0.12195121951219512,0.17960088691796008,0.1319290465631929,0.06430155210643015,0.057649667405764965,0.09866962305986696,0.07427937915742794,0.06984478935698447,0.09534368070953436
(+)-Cedrol 3.0,1273.6352549889136,1421.5964523281596,0.8427681503964689,38.53237036061416,0.5702163422606369,60.53730273391224,27.659622419625048,0.033656980151292926,158.85216152619947,0.9059736430922066,0.09607722572749072,0.34138733098560825,0.038929829137863595,0.09508921273655156,0.29685231076909757,0.029646537107082194,0.0572539791757734,0.20692361201686885,0.018538324420677293,0.08725139424185553,0.20991043867657933,0.03467131863831997,0.08869179600886919,0.13636363636363635,0.17405764966740578,0.14412416851441243,0.07427937915742794,0.058758314855875834,0.09090909090909091,0.06984478935698447,0.08425720620842572,0.0787139689578714
(R)-Citalopram oxalate 0.01,1386.529776674938,1537.421836228288,0.8407438536282553,40.23821150895987,0.584517447011089,62.85867261122928,28.945816654678637,-0.01605991757874068,165.49534358276838,0.9098378261953611,0.09736606090013816,0.3552790346907987,0.04043691918454717,0.08589754950045364,0.2743760035031377,0.025115554906826165,0.05664032447134291,0.2086374251934027,0.018735707682576732,0.08091472683797703,0.19308008563226753,0.031075755364180335,0.08436724565756824,0.14392059553349876,0.17121588089330025,0.14516129032258066,0.052109181141439205,0.07816377171215881,0.08560794044665013,0.09305210918114144,0.0707196029776675,0.07568238213399504
(R)-Citalopram oxalate 0.03,1342.1140142517816,1495.2054631828978,0.8367831592451829,39.59426835520956,0.5874306980844469,61.29726852962445,28.711077111161554,-0.006910647092499913,161.91292012369814,0.9052801898435624,0.09969365000342402,0.37126822225327205,0.039797866890224035,0.08717629285114918,0.2789134180988305,0.02496623352428852,0.05806271622062834,0.21770178380140687,0.018416701597503603,0.08192139596682824,0.19961808951609109,0.03061804294164211,0.10332541567695962,0.14489311163895488,0.16983372921615203,0.12351543942992874,0.052256532066508314,0.08788598574821853,0.10570071258907364,0.07363420427553444,0.07244655581947744,0.0665083135391924
(R)-Citalopram oxalate 0.1,1432.2746666666667,1597.436,0.8352433440729103,40.57534925430587,0.5778416929812845,63.17635457292875,29.359336189211927,-0.010426845153580928,166.66666353595136,0.9081258110033563,0.10007933563248783,0.36482875816993404,0.04106274509803912,0.08546550812933343,0.2728470588235295,0.025100653594771174,0.05864881483765902,0.21490718954248375,0.019151633986928096,0.08183732999057824,0.20430457516339887,0.03111895424836598,0.10133333333333333,0.14666666666666667,0.16,0.13733333333333334,0.056,0.05466666666666667,0.11066666666666666,0.09333333333333334,0.06666666666666667,0.07333333333333333
(R)-Citalopram oxalate 0.3,1357.6137142857142,1510.6708571428571,0.8481443752785803,39.91347474735973,0.5679783377204403,62.38828351907204,28.664738080847698,0.07611466899035244,164.6290875943974,0.9078697952384737,0.09562355109365799,0.3358252100840337,0.04118319327731103,0.08046505595090908,0.26205938375350146,0.026256582633053107,0.055512426989269475,0.19661512605042022,0.019122689075630212,0.0777714938390645,0.18311148459383786,0.032533333333333234,0.11314285714285714,0.1382857142857143,0.17257142857142857,0.11885714285714286,0.054857142857142854,0.052571428571428575,0.096,0.08685714285714285,0.07885714285714286,0.088
